daily_avg,Date
7.748626561,9/5/21 0:00
31.06236206,5/19/21 0:00
23.91681177,5/2/21 0:00
24.09015876,9/10/21 0:00
45.91982122,9/3/21 0:00
7.541978142,7/9/21 0:00
8.867049575,10/9/21 0:00
7.450394423,9/16/21 0:00
4.60716348,11/25/18 0:00
22.13694573,7/8/21 0:00
36.25559224,8/2/21 0:00
5.863676057,10/3/21 0:00
38.13182136,9/18/21 0:00
4.054652665,8/5/21 0:00
11.7586661,6/23/21 0:00
13.19183709,6/3/21 0:00
8.21758183,8/16/21 0:00
12.27699475,7/16/21 0:00
23.99658667,9/28/21 0:00
28.28334874,9/4/21 0:00
23.43167875,9/1/21 0:00
32.82391038,9/29/21 0:00
21.30799434,10/10/21 0:00
20.52754714,5/20/21 0:00
15.82510924,5/22/21 0:00
13.02570583,7/3/21 0:00
25.94776816,5/21/21 0:00
31.37965056,4/27/21 0:00
27.28799977,9/17/21 0:00
8.909517358,12/29/17 0:00
20.7332746,5/26/21 0:00
11.93564611,7/17/21 0:00
8.112353027,8/15/21 0:00
7.978473453,8/14/21 0:00
8.728180279,8/22/21 0:00
27.00920113,5/25/21 0:00
24.70161108,6/16/21 0:00
22.61750222,5/23/21 0:00
28.17599608,7/13/21 0:00
12.45529504,7/18/21 0:00
9.072448413,7/31/21 0:00
40.75847875,9/27/21 0:00
18.23900152,9/6/21 0:00
22.19181568,8/3/21 0:00
35.86056706,8/31/21 0:00
13.88075899,6/4/21 0:00
13.53619625,7/2/21 0:00
8.102204826,6/28/21 0:00
32.42731864,1/21/18 0:00
18.49940451,8/1/21 0:00
6.657815859,7/15/21 0:00
8.298992832,8/4/21 0:00
4.564871884,6/29/21 0:00
8.93411623,10/2/21 0:00
21.4993784,5/24/21 0:00
8.525354568,6/27/21 0:00
12.88083182,10/1/21 0:00
24.7196474,6/13/21 0:00
18.29124911,8/6/21 0:00
6.524158918,6/20/21 0:00
13.01540776,6/24/21 0:00
45.23758543,9/11/21 0:00
6.901147039,7/14/21 0:00
0.407822937,12/16/16 0:00
4.504090153,7/30/21 0:00
8.042165912,8/17/21 0:00
11.35374053,7/19/21 0:00
6.014216596,9/13/21 0:00
27.72217308,6/14/21 0:00
