Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,814062,-,-,-,41.65,-91.54,-6,208,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2014,1,1,0,30,0,0,0,0,0,0,7,-15,160.87,0,0.866,4.4,1.012,68.2,78.16,-11,990,0.0000,0.0000
2014,1,1,1,30,0,0,0,0,0,0,7,-15,154.9,0,0.866,4.6000000000000005,0.996,67.5,77.22,-11,990,0.0000,0.0000
2014,1,1,2,30,0,0,0,0,0,0,7,-15,145.33,0,0.866,4.6000000000000005,0.982,68,76.11,-12,990,0.0000,0.0000
2014,1,1,3,30,0,0,0,0,0,0,7,-15,134.5,0,0.866,4.6000000000000005,0.982,67.5,74.61,-12,990,0.0000,0.0000
2014,1,1,4,30,0,0,0,0,0,0,7,-15,123.32000000000001,0,0.866,4.800000000000001,0.996,61.400000000000006,72.72,-12,990,0.0000,0.0000
2014,1,1,5,30,0,0,0,0,0,0,7,-16,112.21000000000001,0,0.866,5.2,1.016,53.7,70.13,-12,990,0.0000,0.0000
2014,1,1,6,30,0,0,0,0,0,0,7,-16,101.46000000000001,0,0.866,5.4,1.044,46.800000000000004,66.91,-12,990,0.0000,0.0000
2014,1,1,7,30,0,0,0,0,0,0,7,-17,91.34,0,0.866,5.5,1.069,45.400000000000006,69.54,-13,990,0.0000,0.0000
2014,1,1,8,30,49,89,61,55,335,101,7,-17,82.19,0,0.866,5.5,1.079,48.7,68.93,-13,990,0.0000,0.0000
2014,1,1,9,30,92,0,92,98,534,242,7,-17,74.44,0,0.866,5.4,1.076,52,65.17,-12,990,4.5212,3.4780
2014,1,1,10,30,58,0,58,131,611,354,7,-16,68.62,0,0.866,5.2,1.064,53.6,68.08,-11,990,3.0054,2.3312
2014,1,1,11,30,163,27,174,154,633,419,7,-15,65.26,0,0.866,4.9,1.044,50,66.87,-11,990,9.2630,7.2085
2014,1,1,12,30,137,0,137,167,608,427,7,-15,64.77,0,0.866,5,1.016,42.2,66.03,-10,990,7.3198,5.6986
2014,1,1,13,30,132,0,132,158,567,378,7,-14,67.21000000000001,0,0.866,5.1000000000000005,0.978,36.4,70.14,-10,990,6.9209,5.3762
2014,1,1,14,30,117,28,125,128,500,280,7,-13,72.28,0,0.866,5.4,0.933,33.7,73.5,-10,990,6.2668,4.8377
2014,1,1,15,30,66,19,70,83,336,145,7,-13,79.45,0,0.866,5.4,0.886,32.5,75.08,-10,990,3.3365,2.5442
2014,1,1,16,30,8,0,8,15,42,16,7,-13,88.19,4,0.866,5.300000000000001,0.833,31.3,74.77,-10,990,0.0000,0.0000
2014,1,1,17,30,0,0,0,0,0,0,6,-13,98.03,0,0.866,5.300000000000001,0.77,28.1,78.58,-10,990,0.0000,0.0000
2014,1,1,18,30,0,0,0,0,0,0,7,-14,108.60000000000001,0,0.866,5.5,0.6970000000000001,25.3,74.88,-11,990,0.0000,0.0000
2014,1,1,19,30,0,0,0,0,0,0,7,-15,119.62,0,0.866,5.6000000000000005,0.618,22.5,70.74,-11,1000,0.0000,0.0000
2014,1,1,20,30,0,0,0,0,0,0,7,-15,130.81,0,0.866,5.5,0.548,20.1,72.53,-12,1000,0.0000,0.0000
2014,1,1,21,30,0,0,0,0,0,0,7,-16,141.81,0,0.866,5.300000000000001,0.501,15.3,69.27,-12,1000,0.0000,0.0000
2014,1,1,22,30,0,0,0,0,0,0,7,-16,151.94,0,0.866,5.300000000000001,0.47200000000000003,11,66.43,-12,1000,0.0000,0.0000
2014,1,1,23,30,0,0,0,0,0,0,7,-17,159.48,0,0.866,5.4,0.446,8.3,69.13,-13,1000,0.0000,0.0000
2014,1,2,0,30,0,0,0,0,0,0,7,-17,160.8,0,0.866,5.300000000000001,0.418,6.1000000000000005,66.69,-13,1000,0.0000,0.0000
2014,1,2,1,30,0,0,0,0,0,0,7,-18,154.9,0,0.866,5,0.396,3.5,64.64,-13,1000,0.0000,0.0000
2014,1,2,2,30,0,0,0,0,0,0,7,-18,145.35,0,0.866,4.6000000000000005,0.383,359.5,67.41,-14,1000,0.0000,0.0000
2014,1,2,3,30,0,0,0,0,0,0,7,-19,134.53,0,0.866,4.3,0.371,354.90000000000003,69.29,-15,1000,0.0000,0.0000
2014,1,2,4,30,0,0,0,0,0,0,7,-19,123.36,0,0.866,4.4,0.355,349.90000000000003,65.89,-15,1000,0.0000,0.0000
