Just_Date,GHI
2011-05-14,154.25
2011-05-15,435.6666666666667
2011-05-16,693.5
2011-05-17,695.1666666666666
2011-05-18,665.5
2011-05-19,458.42857142857144
2011-05-20,403.9166666666667
2011-05-21,463.0
2011-05-22,343.0833333333333
2011-05-23,511.07142857142856
2011-05-24,507.3076923076923
2011-05-25,263.72727272727275
2011-05-26,519.6428571428571
2011-05-27,423.61538461538464
2011-05-28,252.21428571428572
2011-05-29,311.77777777777777
2011-05-30,559.6428571428571
2011-05-31,485.38461538461536
2011-06-01,581.8571428571429
2011-06-02,197.08333333333334
2011-06-03,548.6428571428571
2011-06-04,378.42857142857144
2011-06-05,576.0833333333334
2011-06-06,561.7142857142857
2011-06-07,564.5
2011-06-08,489.5
2011-06-09,194.63636363636363
2011-06-10,277.38461538461536
2011-06-11,271.35714285714283
2011-06-12,449.6923076923077
2011-06-13,371.2857142857143
2011-06-14,415.6363636363636
2011-06-15,352.07142857142856
2011-06-16,550.4285714285714
2011-06-17,378.92857142857144
2011-06-18,265.0
2011-06-19,471.2142857142857
2011-06-20,557.3
2011-06-21,490.85714285714283
2011-06-22,155.58333333333334
2011-06-23,229.41666666666666
2011-06-24,561.9285714285714
2011-06-25,146.71428571428572
2011-06-26,564.5384615384615
2011-06-27,491.38461538461536
2011-06-28,662.4615384615385
2011-06-29,604.0
2011-06-30,578.5
2011-07-01,569.7142857142857
2011-07-02,579.3571428571429
2011-07-03,376.15384615384613
2011-07-04,645.7692307692307
2011-07-05,413.2307692307692
2011-07-06,469.7857142857143
2011-07-07,422.5
2011-07-08,498.7857142857143
2011-07-09,566.9285714285714
2011-07-10,480.42857142857144
2011-07-11,458.0833333333333
2011-07-12,371.8181818181818
2011-07-13,454.5
2011-07-14,388.64285714285717
2011-07-15,459.07142857142856
2011-07-16,420.53846153846155
2011-07-17,527.2857142857143
2011-07-18,529.8571428571429
2011-07-19,590.0769230769231
2011-07-20,567.1428571428571
2011-07-21,555.2307692307693
2011-07-22,561.1818181818181
