Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,814062,-,-,-,41.65,-91.54,-6,208,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,0,-28.200000000000003,160.86,0,0.68,3.5,0.1,311,70.49,-24.400000000000002,1015,0.0000,0.0000
2018,1,1,1,30,0,0,0,0,0,0,0,-28.3,154.9,0,0.68,3.4000000000000004,0.1,308,72,-24.700000000000003,1015,0.0000,0.0000
2018,1,1,2,30,0,0,0,0,0,0,0,-28.3,145.33,0,0.68,3.4000000000000004,0.1,303,73.36,-24.900000000000002,1016,0.0000,0.0000
2018,1,1,3,30,0,0,0,0,0,0,8,-28.3,134.51,0,0.68,3.6,0.1,299,75.14,-25.200000000000003,1016,0.0000,0.0000
2018,1,1,4,30,0,0,0,0,0,0,8,-28.400000000000002,123.33,0,0.68,3.7,0.2,299,75.13,-25.3,1016,0.0000,0.0000
2018,1,1,5,30,0,0,0,0,0,0,0,-28.5,112.23,0,0.68,3.7,0.2,299,73.8,-25.200000000000003,1016,0.0000,0.0000
2018,1,1,6,30,0,0,0,0,0,0,8,-28.5,101.47,0,0.68,3.8000000000000003,0.2,300,71.68,-24.900000000000002,1016,0.0000,0.0000
2018,1,1,7,30,4,44,3,4,44,3,8,-28.400000000000002,91.35000000000001,14,0.68,4,0.2,304,67.58,-24.1,1017,0.0000,0.0000
2018,1,1,8,30,43,382,96,34,650,124,8,-27.700000000000003,82.08,82,0.68,4.3,0.2,307,63.89,-22.700000000000003,1017,0.0000,0.0000
2018,1,1,9,30,53,799,268,50,837,275,0,-27,74.4,7,0.68,4.3,0.2,309,59.71,-21.200000000000003,1017,13.1752,10.1359
2018,1,1,10,30,58,920,394,58,920,394,0,-26.200000000000003,68.59,0,0.68,4.1000000000000005,0.2,308,56.4,-19.700000000000003,1017,20.4212,15.8404
2018,1,1,11,30,62,955,462,62,955,462,0,-25.3,65.24,0,0.68,4,0.2,305,54.7,-18.400000000000002,1016,24.5984,19.1429
2018,1,1,12,30,62,954,469,61,961,471,0,-24.400000000000002,64.75,0,0.68,4,0.2,303,53.74,-17.2,1016,25.0618,19.5114
2018,1,1,13,30,58,938,422,58,938,422,0,-23.6,67.18,0,0.68,3.9000000000000004,0.2,300,54.29,-16.5,1015,22.1313,17.1924
2018,1,1,14,30,50,877,318,50,877,318,0,-23.1,72.23,0,0.68,3.6,0.2,299,56.44,-16.400000000000002,1015,15.9500,12.3138
2018,1,1,15,30,38,742,175,38,742,175,0,-22.8,79.36,0,0.68,3,0.2,299,63.71,-17.6,1015,8.3416,6.3617
2018,1,1,16,30,17,306,28,17,306,28,0,-23.900000000000002,87.86,4,0.68,2.5,0.2,298,67.65,-19.400000000000002,1015,0.0000,0.0000
2018,1,1,17,30,0,0,0,0,0,0,0,-24.200000000000003,98.03,0,0.68,2.3000000000000003,0.2,297,70.36,-20.200000000000003,1015,0.0000,0.0000
2018,1,1,18,30,0,0,0,0,0,0,0,-24.3,108.60000000000001,0,0.68,2.4000000000000004,0.2,293,76.35000000000001,-21.200000000000003,1015,0.0000,0.0000
2018,1,1,19,30,0,0,0,0,0,0,8,-24.3,119.62,0,0.68,2.4000000000000004,0.2,292,80.15,-21.8,1015,0.0000,0.0000
2018,1,1,20,30,0,0,0,0,0,0,8,-24.400000000000002,130.81,0,0.68,2.5,0.2,293,81.36,-22.1,1015,0.0000,0.0000
2018,1,1,21,30,0,0,0,0,0,0,8,-24.6,141.8,0,0.68,2.6,0.2,293,81.21000000000001,-22.3,1014,0.0000,0.0000
2018,1,1,22,30,0,0,0,0,0,0,8,-24.900000000000002,151.93,0,0.68,2.6,0.2,289,79.5,-22.3,1014,0.0000,0.0000
2018,1,1,23,30,0,0,0,0,0,0,0,-25.1,159.46,0,0.68,2.7,0.1,287,77.12,-22.200000000000003,1014,0.0000,0.0000
2018,1,2,0,30,0,0,0,0,0,0,8,-25,160.8,0,0.68,2.8000000000000003,0.1,289,75.59,-21.900000000000002,1014,0.0000,0.0000
2018,1,2,1,30,0,0,0,0,0,0,0,-24.900000000000002,154.9,0,0.68,2.9000000000000004,0.1,287,76.55,-21.900000000000002,1013,0.0000,0.0000
2018,1,2,2,30,0,0,0,0,0,0,0,-25.1,145.36,0,0.68,2.9000000000000004,0.1,279,76.10000000000001,-22,1013,0.0000,0.0000
2018,1,2,3,30,0,0,0,0,0,0,8,-25.200000000000003,134.55,0,0.68,3,0.1,272,75.08,-22,1012,0.0000,0.0000
2018,1,2,4,30,0,0,0,0,0,0,8,-25.3,123.37,0,0.68,3.1,0.2,267,74.86,-22,1012,0.0000,0.0000
2018,1,2,5,30,0,0,0,0,0,0,8,-25.3,112.26,0,0.68,3.2,0.2,263,74.77,-22,1011,0.0000,0.0000
2018,1,2,6,30,0,0,0,0,0,0,8,-25.200000000000003,101.5,0,0.68,3.3000000000000003,0.2,258,74.28,-21.900000000000002,1011,0.0000,0.0000
2018,1,2,7,30,4,45,3,4,45,3,8,-25.200000000000003,91.37,14,0.68,3.5,0.2,251,70.73,-21.3,1010,0.0000,0.0000
2018,1,2,8,30,42,363,92,34,679,128,8,-24.5,82.08,100,0.68,4,0.1,246,65.41,-19.700000000000003,1010,0.0000,0.0000
2018,1,2,9,30,61,657,238,50,855,280,8,-23.5,74.37,29,0.68,4.4,0.1,242,60.02,-17.6,1009,11.7036,9.0042
2018,1,2,10,30,59,920,396,59,920,396,0,-22.5,68.54,0,0.68,4.7,0.2,242,55.07,-15.5,1008,20.5336,15.9285
2018,1,2,11,30,66,939,460,65,952,465,0,-21.6,65.16,0,0.68,5.1000000000000005,0.2,243,50.28,-13.4,1007,24.5066,19.0727
2018,1,2,12,30,68,947,473,68,947,473,0,-20.700000000000003,64.65,0,0.68,5.5,0.2,242,47.45,-11.8,1005,25.2940,19.6938
2018,1,2,13,30,66,911,421,66,911,421,0,-20.1,67.06,0,0.68,5.9,0.30000000000000004,240,46.480000000000004,-10.8,1003,22.1003,17.1703
2018,1,2,14,30,59,843,318,59,843,318,0,-19.400000000000002,72.10000000000001,0,0.68,5.800000000000001,0.30000000000000004,236,47.68,-10.4,1002,15.9694,12.3311
2018,1,2,15,30,46,675,172,46,692,175,0,-18.900000000000002,79.23,7,0.68,5.300000000000001,0.30000000000000004,225,52.980000000000004,-11.200000000000001,1000,8.1997,6.2545
2018,1,2,16,30,18,248,28,18,248,28,0,-18.900000000000002,87.75,0,0.68,5,0.30000000000000004,211,58.31,-12.4,998,0.0000,0.0000
2018,1,2,17,30,0,0,0,0,0,0,7,-19.1,97.89,0,0.68,5.1000000000000005,0.30000000000000004,206,59.75,-12.9,998,0.0000,0.0000
2018,1,2,18,30,0,0,0,0,0,0,6,-19,108.46000000000001,0,0.68,4.4,0.30000000000000004,214,62.51,-13.4,997,0.0000,0.0000
2018,1,2,19,30,0,0,0,0,0,0,6,-18.8,119.48,0,0.68,4.800000000000001,0.4,211,63.02,-13.200000000000001,996,0.0000,0.0000
2018,1,2,20,30,0,0,0,0,0,0,6,-18.3,130.67000000000002,0,0.68,5.1000000000000005,0.5,210,63.59,-12.8,994,0.0000,0.0000
2018,1,2,21,30,0,0,0,0,0,0,6,-17.5,141.66,0,0.68,5.1000000000000005,0.6000000000000001,211,64.7,-12.200000000000001,993,0.0000,0.0000
2018,1,2,22,30,0,0,0,0,0,0,7,-16.5,151.79,0,0.68,5,0.6000000000000001,214,67.56,-11.700000000000001,992,0.0000,0.0000
2018,1,2,23,30,0,0,0,0,0,0,4,-15.8,159.34,0,0.68,4.7,0.6000000000000001,222,69.63,-11.3,991,0.0000,0.0000
2018,1,3,0,30,0,0,0,0,0,0,4,-15.200000000000001,160.72,0,0.68,4.3,0.6000000000000001,238,71.43,-11,991,0.0000,0.0000
2018,1,3,1,30,0,0,0,0,0,0,4,-14.4,154.89000000000001,0,0.68,3.7,0.5,257,74.67,-10.8,991,0.0000,0.0000
2018,1,3,2,30,0,0,0,0,0,0,4,-13.700000000000001,145.38,0,0.68,3.5,0.5,277,77.55,-10.5,991,0.0000,0.0000
2018,1,3,3,30,0,0,0,0,0,0,4,-13,134.57,0,0.68,4,0.5,296,80.36,-10.3,992,0.0000,0.0000
2018,1,3,4,30,0,0,0,0,0,0,4,-13.4,123.4,0,0.68,4.800000000000001,0.4,312,79.31,-10.5,992,0.0000,0.0000
2018,1,3,5,30,0,0,0,0,0,0,4,-14.9,112.28,0,0.68,5.2,0.4,321,75.89,-11.5,993,0.0000,0.0000
2018,1,3,6,30,0,0,0,0,0,0,4,-16.900000000000002,101.51,0,0.68,5,0.4,322,71.94,-12.9,994,0.0000,0.0000
2018,1,3,7,30,2,35,1,4,40,3,4,-18.7,91.37,14,0.68,4.9,0.30000000000000004,318,65.59,-13.600000000000001,995,0.0000,0.0000
2018,1,3,8,30,45,278,83,36,624,122,4,-19,82.07000000000001,100,0.68,5.6000000000000005,0.30000000000000004,319,60.13,-12.9,996,0.0000,0.0000
2018,1,3,9,30,78,418,191,52,817,273,4,-18.900000000000002,74.34,29,0.68,6.4,0.30000000000000004,323,56.620000000000005,-12,996,9.3949,7.2284
2018,1,3,10,30,133,260,228,62,899,392,4,-18.6,68.49,0,0.68,6.4,0.30000000000000004,323,55.78,-11.5,997,11.8274,9.1754
2018,1,3,11,30,153,307,282,67,934,461,4,-18.1,65.08,0,0.68,6.300000000000001,0.30000000000000004,323,56.910000000000004,-11.200000000000001,997,15.0325,11.7001
2018,1,3,12,30,157,312,291,69,938,472,4,-17.7,64.55,0,0.68,6.2,0.30000000000000004,322,58.58,-11.200000000000001,997,15.5728,12.1258
2018,1,3,13,30,112,541,324,65,916,424,4,-17.6,66.94,46,0.68,6,0.30000000000000004,322,59.52,-11.3,997,17.0248,13.2286
2018,1,3,14,30,107,320,206,57,854,321,4,-17.7,71.97,0,0.68,5.800000000000001,0.30000000000000004,324,60.67,-11.600000000000001,998,10.3575,7.9993
2018,1,3,15,30,66,209,106,43,717,179,4,-17.900000000000002,79.09,96,0.68,5.4,0.30000000000000004,325,62.58,-12.200000000000001,998,5.0543,3.8561
2018,1,3,16,30,14,33,15,18,290,30,4,-18.2,87.61,71,0.68,4.800000000000001,0.30000000000000004,326,64.26,-12.9,998,0.0000,0.0000
2018,1,3,17,30,0,0,0,0,0,0,8,-18.7,97.74000000000001,0,0.68,4.4,0.30000000000000004,326,63.9,-13.3,999,0.0000,0.0000
