daily_avg,Date,GHI
16.01644468,2021-05-27,312.27777777777777
22.23925329,2021-05-18,459.4285714285714
11.6875037,2021-09-24,288.8181818181818
29.9489897,2021-10-13,208.33333333333331
27.78093732,2021-05-01,514.9375
11.40214128,2021-06-22,434.07142857142856
8.836753121,2021-04-28,337.2307692307692
11.61519926,2021-04-05,330.1818181818182
26.03759144,2021-10-11,151.94444444444446
6.966737836,2021-10-04,353.3
6.308712728,2021-09-21,385.3636363636364
8.817885521,2021-04-07,339.0
33.45421166,2021-09-26,488.0
3.595368856,2021-05-03,409.0
12.85026373,2021-06-02,402.5
7.652804968,2021-09-09,432.1538461538461
21.67501881,2021-09-02,520.2352941176471
10.60952869,2021-04-06,315.9166666666667
25.75109469,2021-07-11,341.8
20.04764351,2018-12-27,10.666666666666666
4.500442199,2021-10-05,245.8
19.13870078,2021-07-10,412.9375
32.84733046,2021-10-06,430.0
29.44033444,2021-10-08,171.55555555555554
17.83281964,2021-07-12,424.3529411764706
7.857158212,2021-09-15,442.46153846153845
44.61194071,2021-10-07,283.2608695652174
20.04953758,2018-12-31,10.307692307692308
7.522023282,2021-09-08,414.5
11.40205541,2021-06-21,510.6
7.748626561,2021-09-05,395.0
31.06236206,2021-05-19,343.42105263157896
23.91681177,2021-05-02,412.5
24.09015876,2021-09-10,462.2352941176471
45.91982122,2021-09-03,300.27272727272725
7.541978142,2021-07-09,340.0833333333333
8.867049575,2021-10-09,317.8
7.450394423,2021-09-16,417.7692307692308
4.60716348,2018-11-25,34.0
22.13694573,2021-07-08,350.57894736842104
36.25559224,2021-08-02,432.2173913043478
5.863676057,2021-10-03,310.4
38.13182136,2021-09-18,237.26315789473685
4.054652665,2021-08-05,305.3076923076923
11.7586661,2021-06-23,400.57142857142856
13.19183709,2021-06-03,437.4285714285714
8.21758183,2021-08-16,422.3333333333333
12.27699475,2021-07-16,366.5625
23.99658667,2021-09-28,477.4375
28.28334874,2021-09-04,224.7058823529412
23.43167875,2021-09-01,258.89473684210526
32.82391038,2021-09-29,262.95
21.30799434,2021-10-10,430.25
20.52754714,2021-05-20,491.8125
15.82510924,2021-05-22,491.8888888888889
13.02570583,2021-07-03,371.9285714285714
25.94776816,2021-05-21,361.05
31.37965056,2021-04-27,297.42857142857144
27.28799977,2021-09-17,436.5882352941176
8.909517358,2017-12-29,5.6
20.7332746,2021-05-26,583.5294117647059
11.93564611,2021-07-17,382.07142857142856
8.112353027,2021-08-15,412.0
7.978473453,2021-08-14,427.6666666666667
8.728180279,2021-08-22,439.6923076923077
27.00920113,2021-05-25,307.77777777777777
24.70161108,2021-06-16,548.6111111111111
22.61750222,2021-05-23,360.6315789473685
28.17599608,2021-07-13,326.3684210526316
12.45529504,2021-07-18,369.5
9.072448413,2021-07-31,279.2857142857143
40.75847875,2021-09-27,206.05555555555557
18.23900152,2021-09-06,523.5294117647059
22.19181568,2021-08-03,359.57894736842104
35.86056706,2021-08-31,317.3478260869565
13.88075899,2021-06-04,453.57142857142856
13.53619625,2021-07-02,405.0
8.102204826,2021-06-28,418.5
32.42731864,2018-01-21,13.6
18.49940451,2021-08-01,426.9411764705882
6.657815859,2021-07-15,365.4166666666667
8.298992832,2021-08-04,379.0769230769231
4.564871884,2021-06-29,435.3076923076923
8.93411623,2021-10-02,321.4166666666667
21.4993784,2021-05-24,483.27777777777777
8.525354568,2021-06-27,414.7857142857143
12.88083182,2021-10-01,361.84615384615387
24.7196474,2021-06-13,552.3333333333334
18.29124911,2021-08-06,317.05882352941177
6.524158918,2021-06-20,386.2
13.01540776,2021-06-24,371.84615384615387
45.23758543,2021-09-11,237.83333333333331
6.901147039,2021-07-14,265.7692307692308
0.407822937,2016-12-16,34.0
4.504090153,2021-07-30,169.41666666666666
8.042165912,2021-08-17,374.8333333333333
11.35374053,2021-07-19,347.7142857142857
6.014216596,2021-09-13,226.16666666666663
27.72217308,2021-06-14,395.6363636363636
10.66069193,2021-09-30,285.7
21.91043052,2021-08-30,467.0
9.484668184,2021-06-30,399.3571428571428
12.62381712,2021-06-07,439.2857142857143
15.65604427,2021-07-04,403.4
5.508392614,2021-09-14,379.5384615384616
20.59581132,2021-06-15,535.0588235294117
13.276184,2021-06-05,444.7142857142857
10.10224736,2021-06-08,434.6428571428572
29.92575165,2021-06-26,340.6
23.89170059,2021-09-07,186.3684210526316
26.78228959,2021-09-12,164.94736842105263
23.93255455,2021-07-20,378.6111111111111
12.8474568,2021-06-06,491.3125
13.35172946,2021-07-01,494.9375
27.62925621,2021-06-17,341.3684210526316
6.530075422,2021-09-19,342.75
7.640087253,2021-08-13,422.46153846153845
6.602660136,2020-12-12,19.666666666666668
27.8586819,2021-08-07,184.9
24.52214243,2021-06-25,541.5882352941177
6.214832093,2021-08-08,286.7692307692308
