Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,814062,-,-,-,41.65,-91.54,-6,208,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,0,0,0,0,0,0,4,-3.7,160.87,0,0.14,5.300000000000001,0.8,349,90.4,-2.3000000000000003,994,0.0000,0.0000
2019,1,1,1,30,0,0,0,0,0,0,4,-4.9,154.9,0,0.14,5.4,0.8,353,87.85000000000001,-3.2,996,0.0000,0.0000
2019,1,1,2,30,0,0,0,0,0,0,4,-6.300000000000001,145.33,0,0.14,5.2,0.7000000000000001,178,84.71000000000001,-4.1000000000000005,996,0.0000,0.0000
2019,1,1,3,30,0,0,0,0,0,0,4,-7.2,134.5,0,0.14,4.6000000000000005,0.7000000000000001,1,81.98,-4.6000000000000005,997,0.0000,0.0000
2019,1,1,4,30,0,0,0,0,0,0,4,-7.7,123.32000000000001,0,0.14,4.1000000000000005,0.8,1,81.42,-5,998,0.0000,0.0000
2019,1,1,5,30,0,0,0,0,0,0,4,-8.1,112.21000000000001,0,0.14,4,0.8,180,80.97,-5.300000000000001,999,0.0000,0.0000
2019,1,1,6,30,0,0,0,0,0,0,4,-8.5,101.46000000000001,0,0.14,3.9000000000000004,0.8,181,80.46000000000001,-5.7,1000,0.0000,0.0000
2019,1,1,7,30,1,13,1,2,16,2,4,-9.1,91.35000000000001,14,0.14,3.9000000000000004,0.8,3,78,-5.9,1001,0.0000,0.0000
2019,1,1,8,30,36,0,36,45,453,107,4,-9.4,82.09,100,0.14,3.9000000000000004,0.8,4,74.55,-5.6000000000000005,1001,0.0000,0.0000
2019,1,1,9,30,87,4,88,66,672,247,4,-9.4,74.4,29,0.14,3.8000000000000003,0.8,182,71.8,-5.1000000000000005,1002,4.3262,3.3282
