Date,EL_Solar_BusBarn_Total_KW,GHI
1,38422.871059569,458196
2,29664.486517385,681692
3,52317.279988556,1180939
4,63816.728198846,1444873
5,73136.76891138,1864340
6,77029.279472879,2116795
7,82836.62412513,2212643
8,72780.694132979,1938339
9,70711.177115731,1534922
10,53672.493244844,1087591
11,42983.39246527,682334
12,42347.299722063,466378
