Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,814062,-,-,-,41.65,-91.54,-6,208,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2013,1,1,0,30,0,0,0,0,0,0,1,-17,160.85,0,0.866,2.8000000000000003,0.456,1.8,77.76,-14,990,0.0000,0.0000
2013,1,1,1,30,0,0,0,0,0,0,0,-18,154.9,0,0.866,2.8000000000000003,0.419,358.8,73.41,-15,990,0.0000,0.0000
2013,1,1,2,30,0,0,0,0,0,0,0,-19,145.33,0,0.866,2.8000000000000003,0.388,356.20000000000005,77.99,-16,990,0.0000,0.0000
2013,1,1,3,30,0,0,0,0,0,0,0,-20,134.51,0,0.866,2.8000000000000003,0.366,353.90000000000003,78.77,-17,990,0.0000,0.0000
2013,1,1,4,30,0,0,0,0,0,0,0,-21,123.33,0,0.866,2.9000000000000004,0.353,353,73.93,-18,990,0.0000,0.0000
2013,1,1,5,30,0,0,0,0,0,0,0,-22,112.22,0,0.866,3,0.34700000000000003,354.6,75.81,-19,990,0.0000,0.0000
2013,1,1,6,30,0,0,0,0,0,0,0,-22,101.46000000000001,0,0.866,2.9000000000000004,0.34600000000000003,356.90000000000003,78.13,-20,990,0.0000,0.0000
2013,1,1,7,30,0,0,0,0,0,0,0,-23,91.34,0,0.866,2.8000000000000003,0.34500000000000003,359,68.35000000000001,-19,990,0.0000,0.0000
2013,1,1,8,30,38,586,118,38,586,118,1,-22,82.19,0,0.866,2.6,0.341,359.6,61.15,-17,990,0.0000,0.0000
2013,1,1,9,30,59,789,271,59,789,271,0,-19,74.44,0,0.866,2.4000000000000004,0.337,1.4000000000000001,61.58,-13,1000,13.3179,10.2450
2013,1,1,10,30,71,879,391,71,879,391,0,-17,68.61,0,0.866,2.2,0.335,7.6000000000000005,58.77,-11,1000,20.2622,15.7168
2013,1,1,11,30,76,917,460,76,917,460,0,-15,65.25,0,0.866,2,0.337,10,56.910000000000004,-9,990,24.4901,19.0584
2013,1,1,12,30,76,924,470,76,924,470,0,-15,64.75,0,0.866,1.9000000000000001,0.34600000000000003,352.3,56.42,-8,990,25.1153,19.5530
2013,1,1,13,30,71,898,420,71,898,420,0,-14,67.19,0,0.866,2,0.36,332.3,58.43,-8,990,22.0246,17.1093
2013,1,1,14,30,61,831,315,61,831,315,0,-14,72.25,0,0.866,2,0.379,315.8,59.45,-8,990,15.7966,12.1950
2013,1,1,15,30,45,681,170,45,681,170,0,-13,79.42,0,0.866,2,0.4,303,72.58,-10,990,8.1030,6.1792
2013,1,1,16,30,14,278,23,14,278,23,0,-16,88.15,0,0.866,2.1,0.422,297.6,68.03,-12,990,0.0000,0.0000
2013,1,1,17,30,0,0,0,0,0,0,0,-18,97.99000000000001,0,0.866,2.1,0.442,295.8,64.85,-13,990,0.0000,0.0000
2013,1,1,18,30,0,0,0,0,0,0,0,-18,108.57000000000001,0,0.866,1.8,0.458,289.1,65.42,-13,990,0.0000,0.0000
2013,1,1,19,30,0,0,0,0,0,0,0,-17,119.59,0,0.866,1.6,0.47200000000000003,281.90000000000003,67.37,-13,990,0.0000,0.0000
2013,1,1,20,30,0,0,0,0,0,0,0,-17,130.78,0,0.866,1.6,0.488,271.90000000000003,74.26,-13,990,0.0000,0.0000
2013,1,1,21,30,0,0,0,0,0,0,0,-17,141.78,0,0.866,1.6,0.504,255.70000000000002,75.39,-14,990,0.0000,0.0000
2013,1,1,22,30,0,0,0,0,0,0,1,-17,151.91,0,0.866,1.7000000000000002,0.516,236.8,75.87,-14,990,0.0000,0.0000
2013,1,1,23,30,0,0,0,0,0,0,0,-17,159.45000000000002,0,0.866,2,0.522,220.20000000000002,80.92,-15,990,0.0000,0.0000
2013,1,2,0,30,0,0,0,0,0,0,0,-17,160.79,0,0.866,2.3000000000000003,0.525,210.20000000000002,78.43,-15,990,0.0000,0.0000
2013,1,2,1,30,0,0,0,0,0,0,0,-18,154.9,0,0.866,2.5,0.527,205.10000000000002,82.76,-16,990,0.0000,0.0000
2013,1,2,2,30,0,0,0,0,0,0,0,-18,145.36,0,0.866,2.5,0.526,202.9,83.49,-16,990,0.0000,0.0000
2013,1,2,3,30,0,0,0,0,0,0,0,-17,134.54,0,0.866,2.5,0.524,201.4,85.33,-16,990,0.0000,0.0000
2013,1,2,4,30,0,0,0,0,0,0,0,-17,123.37,0,0.866,2.6,0.525,197.4,86.36,-16,990,0.0000,0.0000
2013,1,2,5,30,0,0,0,0,0,0,0,-17,112.25,0,0.866,2.7,0.53,191.70000000000002,80.15,-15,990,0.0000,0.0000
2013,1,2,6,30,0,0,0,0,0,0,1,-17,101.49000000000001,0,0.866,2.8000000000000003,0.538,187.4,81.44,-15,990,0.0000,0.0000
2013,1,2,7,30,0,0,0,0,0,0,1,-17,91.35000000000001,0,0.866,3,0.551,184.9,76.2,-14,990,0.0000,0.0000
2013,1,2,8,30,42,506,111,42,506,111,0,-15,82.19,0,0.866,3.6,0.5690000000000001,183.5,72.34,-11,990,0.0000,0.0000
2013,1,2,9,30,68,714,260,68,714,260,0,-12,74.41,0,0.866,4.4,0.587,187,68.99,-7,990,12.7808,9.8323
2013,1,2,10,30,83,807,378,83,807,378,0,-10,68.56,0,0.866,4.7,0.602,202.9,67.21000000000001,-5,990,19.5969,15.2016
2013,1,2,11,30,90,849,447,90,849,447,0,-7,65.17,0,0.866,4.9,0.611,209.9,68.68,-3,990,23.8122,18.5321
2013,1,2,12,30,96,839,455,96,839,455,0,-6,64.65,0,0.866,5,0.617,217.70000000000002,72.31,-2,990,24.3315,18.9443
2013,1,2,13,30,93,802,405,93,802,405,0,-5,67.07000000000001,0,0.866,5,0.626,225,72.82000000000001,-1,990,21.2587,16.5163
2013,1,2,14,30,81,716,301,81,716,301,0,-4,72.12,0,0.866,4.2,0.641,230.60000000000002,76.28,-1,990,15.1128,11.6694
2013,1,2,15,30,57,552,160,57,552,160,1,-4,79.28,0,0.866,2.7,0.668,234.9,88.92,-3,990,7.6272,5.8174
2013,1,2,16,30,21,0,21,16,144,21,4,-6,88.01,4,0.866,1.9000000000000001,0.709,233.9,90.8,-5,990,0.0000,0.0000
2013,1,2,17,30,0,0,0,0,0,0,4,-7,97.85000000000001,0,0.866,2,0.756,231.9,86.33,-6,990,0.0000,0.0000
2013,1,2,18,30,0,0,0,0,0,0,4,-8,108.43,0,0.866,2.3000000000000003,0.799,231,90.49,-7,990,0.0000,0.0000
2013,1,2,19,30,0,0,0,0,0,0,4,-8,119.45,0,0.866,2.6,0.8300000000000001,234.10000000000002,84.13,-6,990,0.0000,0.0000
2013,1,2,20,30,0,0,0,0,0,0,7,-7,130.64000000000001,0,0.866,2.6,0.845,242.5,86.45,-6,990,0.0000,0.0000
2013,1,2,21,30,0,0,0,0,0,0,7,-7,141.64000000000001,0,0.866,2.6,0.844,251,88.49,-6,990,0.0000,0.0000
2013,1,2,22,30,0,0,0,0,0,0,7,-7,151.77,0,0.866,2.7,0.8280000000000001,256.2,89.52,-5,990,0.0000,0.0000
