Day,Total GHI Units,Total Final,Non-Zero Final Count,throughput,efficiency
2011-06-02,84.7,64.16345282255499,15,4.277563521503666,0.30241030488046333
2011-06-03,101.9,324.52161049958096,16,20.28260065622381,1.1918812418082663
2011-06-04,45.2,202.2967533429534,16,12.643547083934587,1.6749969641161817
2011-06-05,44.6,290.8297486776197,16,18.17685929235123,2.4404365205487544
2011-06-06,83.4,321.0969320323843,16,20.06855825202402,1.4408993704694224
2011-06-07,90.7,326.40420967658594,16,20.40026310478662,1.3468276086054982
2011-06-08,77.1,266.7812562370138,14,19.055804016929557,1.479981982877013
2011-06-09,63.9,67.2504340919703,15,4.48336227279802,0.4201327179254656
2011-06-10,60.9,143.14846838783285,16,8.946779274239553,0.8796966927464827
2011-06-11,70.1,139.12551451597488,16,8.69534465724843,0.7427665061245639
2011-06-12,57.7,251.18344050085784,16,15.698965031303615,1.6292162674273927
2011-06-13,80.1,212.11250877136473,16,13.257031798210296,0.9910539817900003
2011-06-14,114.7,200.27064449246566,15,13.35137629949771,0.6970214566245562
2011-06-15,91.8,166.75579138512762,16,10.422236961570476,0.6798322936852097
2011-06-16,53.7,328.37275964691844,16,20.523297477932402,2.2885288058444453
2011-06-17,45.9,187.98377619320138,16,11.748986012075086,1.5327496656458437
2011-06-18,43.9,127.02398387754948,16,7.938998992346843,1.0828910278322865
2011-06-19,32.8,256.82781778734835,16,16.051738611709272,2.9304327829175687
2011-06-20,61.9,240.4522085488249,14,17.175157753487493,1.661474248932264
2011-06-21,106.4,266.2491403525918,16,16.640571272036986,0.936505069111982
2011-06-22,120.0,88.30746685052792,16,5.519216678157995,0.27541001388013947
2011-06-23,109.0,131.27069799583708,16,8.204418624739818,0.45071793796296317
2011-06-24,65.8,291.5651869949316,16,18.222824187183225,1.6583390229131305
2011-06-25,57.9,67.79850264388313,16,4.237406415242695,0.4382330070680086
2011-06-26,75.4,299.15308467629126,15,19.94353897841942,1.583851314221908
2011-06-27,92.6,266.1120331441127,16,16.632002071507042,1.0755164878562773
2011-06-28,48.0,344.844365599911,16,21.552772849994437,2.688719167913478
2011-06-29,45.3,336.42642487274907,16,21.026651554546817,2.779428104657813
2011-06-30,85.1,320.89996127064694,16,20.056247579415434,1.4112490116886394
2011-07-01,77.2,315.52440079268194,16,19.72027504954262,1.5296046546448
2011-07-02,64.7,321.5814486606507,16,20.09884054129067,1.8601597924359015
2011-07-03,49.4,177.75514719454927,16,11.10969669965933,1.3466625493538427
2011-07-04,34.9,331.1346658396906,16,20.695916614980664,3.5509353696585055
2011-07-05,32.3,234.4718067311482,16,14.654487920696763,2.7167623738337747
2011-07-06,27.8,266.42329709348655,16,16.65145606834291,3.5866661069967067
2011-07-07,42.2,210.60534184548527,16,13.16283386534283,1.8677574517329554
2011-07-08,29.9,273.27539546324675,16,17.079712216452922,3.4205259480609866
2011-07-09,58.8,315.5284444127175,16,19.720527775794842,2.008282188255616
2011-07-10,54.8,242.15784459337726,16,15.134865287086079,1.6537944498323878
2011-07-11,31.5,218.1205040611418,14,15.58003600436727,2.961702500592581
2011-07-12,51.1,158.40838478515124,16,9.900524049071953,1.160167811039989
2011-07-13,67.8,258.48526369561586,16,16.15532898097599,1.426821488083655
2011-07-14,56.1,235.1676045931727,16,14.697975287073294,1.568838289951999
2011-07-15,58.0,290.22387575119865,16,18.138992234449915,1.8727020683925166
2011-07-16,61.7,213.46308865251123,15,14.230872576834082,1.3811151677359137
2011-07-17,57.3,290.1374556556451,16,18.13359097847782,1.8950153074456138
2011-07-18,73.5,295.61024069898167,16,18.475640043686354,1.5052051035631882
2011-07-19,44.4,307.79235419810533,16,19.237022137381583,2.5944087685954558
2011-07-20,72.8,316.18072809088454,16,19.761295505680284,1.625427346324956
2011-07-21,38.3,274.77286880892507,16,17.173304300557817,2.6849649474770283
2011-07-22,35.9,254.58091067113315,13,19.58314697470255,3.2664165220593717
2011-07-23,44.6,129.74708962206537,14,9.267649258718956,1.244280397776504
2011-07-24,32.7,162.5455579098472,15,10.836370527323146,1.984356155088565
2011-07-25,33.7,325.062728543087,16,20.31642053394294,3.6099469667092405
2011-07-26,25.9,239.1624047220678,16,14.947650295129238,3.4558644013430833
2011-07-27,68.6,260.46035412746323,16,16.278772132966452,1.4209573971270102
2011-07-28,50.9,185.78547682905005,15,12.385698455270004,1.4570895680470106
2011-07-29,41.7,229.27982160290463,16,14.32998885018154,2.057753392521653
2011-07-30,40.7,323.66181903483744,15,21.577454602322497,3.174602333758404
2011-07-31,21.900000000000002,312.0158172509183,16,19.500988578182394,5.332072451858582
2011-08-01,30.3,282.99460461980703,16,17.68716278873794,3.49541763774193
2011-08-02,80.7,294.0988394505443,15,19.606589296702953,1.4548293225224609
2011-08-03,67.6,305.5685216234709,15,20.37123477489806,1.8044887835185894
2011-08-04,35.3,205.91523147015099,15,13.727682098010066,2.328659750981335
2011-08-05,50.6,182.15242379104544,15,12.143494919403029,1.43706597706599
2011-08-06,29.8,242.9716885062632,15,16.198112567084213,3.2548552359209526
2011-08-07,66.2,303.22058056097785,15,20.214705370731856,1.8284915399471622
2011-08-08,40.3,252.51252087106306,15,16.83416805807087,2.50132510038051
2011-08-09,86.5,321.24579063963415,15,21.416386042642277,1.4825645386204893
2011-08-10,52.4,332.6141651642819,15,22.174277677618797,2.53397148576345
2011-08-11,22.2,313.9622323672442,15,20.930815491149612,5.645685788193779
2011-08-12,59.6,236.98626889549195,15,15.799084593032797,1.5873371973870514
2011-08-13,77.3,257.2635293648889,15,17.150901957659258,1.32859006109328
